device,dtype,dist,levy_alpha,dim,size,algo,iter,sample_id,batch_time_ms,batch_time_ms_std,sample_time_ms,sample_time_ms_std,orthogonality_error,polar_error
cuda:0 (NVIDIA L40S),bfloat16,levy,2.0,"(64, 64)",64,Muon,1,0,0.10480755008757114,0.008605477631505756,0.026201887521892786,0.002151369407876439,0.8451537489891052,0.6816141605377197
cuda:0 (NVIDIA L40S),bfloat16,levy,2.0,"(64, 64)",64,Muon,1,1,0.10480755008757114,0.008605477631505756,0.026201887521892786,0.002151369407876439,0.8472203016281128,0.6860877871513367
cuda:0 (NVIDIA L40S),bfloat16,levy,2.0,"(64, 64)",64,Muon,1,2,0.10480755008757114,0.008605477631505756,0.026201887521892786,0.002151369407876439,0.8467321991920471,0.6851133108139038
cuda:0 (NVIDIA L40S),bfloat16,levy,2.0,"(64, 64)",64,Muon,1,3,0.10480755008757114,0.008605477631505756,0.026201887521892786,0.002151369407876439,0.8465924859046936,0.6841199994087219
cuda:0 (NVIDIA L40S),bfloat16,levy,2.0,"(64, 64)",64,Muon,2,0,0.13358757132664323,0.013015399298815577,0.03339689283166081,0.003253849824703894,0.5468081831932068,0.41022947430610657
cuda:0 (NVIDIA L40S),bfloat16,levy,2.0,"(64, 64)",64,Muon,2,1,0.13358757132664323,0.013015399298815577,0.03339689283166081,0.003253849824703894,0.5564959049224854,0.4115675985813141
cuda:0 (NVIDIA L40S),bfloat16,levy,2.0,"(64, 64)",64,Muon,2,2,0.13358757132664323,0.013015399298815577,0.03339689283166081,0.003253849824703894,0.5542397499084473,0.40867555141448975
cuda:0 (NVIDIA L40S),bfloat16,levy,2.0,"(64, 64)",64,Muon,2,3,0.13358757132664323,0.013015399298815577,0.03339689283166081,0.003253849824703894,0.5516425371170044,0.40737658739089966
cuda:0 (NVIDIA L40S),bfloat16,levy,2.0,"(64, 64)",64,Muon,3,0,0.16517500625923276,0.005960332224552458,0.04129375156480819,0.0014900830561381145,0.4385136365890503,0.2937600910663605
cuda:0 (NVIDIA L40S),bfloat16,levy,2.0,"(64, 64)",64,Muon,3,1,0.16517500625923276,0.005960332224552458,0.04129375156480819,0.0014900830561381145,0.4209597408771515,0.2815929651260376
cuda:0 (NVIDIA L40S),bfloat16,levy,2.0,"(64, 64)",64,Muon,3,2,0.16517500625923276,0.005960332224552458,0.04129375156480819,0.0014900830561381145,0.42623087763786316,0.27199292182922363
cuda:0 (NVIDIA L40S),bfloat16,levy,2.0,"(64, 64)",64,Muon,3,3,0.16517500625923276,0.005960332224552458,0.04129375156480819,0.0014900830561381145,0.41938087344169617,0.2777177691459656
cuda:0 (NVIDIA L40S),bfloat16,levy,2.0,"(64, 64)",64,Muon,4,0,0.19902747590094805,0.008397674410193352,0.04975686897523701,0.002099418602548338,0.3393939137458801,0.2150086760520935
cuda:0 (NVIDIA L40S),bfloat16,levy,2.0,"(64, 64)",64,Muon,4,1,0.19902747590094805,0.008397674410193352,0.04975686897523701,0.002099418602548338,0.33497869968414307,0.21558710932731628
cuda:0 (NVIDIA L40S),bfloat16,levy,2.0,"(64, 64)",64,Muon,4,2,0.19902747590094805,0.008397674410193352,0.04975686897523701,0.002099418602548338,0.32039499282836914,0.17914488911628723
cuda:0 (NVIDIA L40S),bfloat16,levy,2.0,"(64, 64)",64,Muon,4,3,0.19902747590094805,0.008397674410193352,0.04975686897523701,0.002099418602548338,0.3479965031147003,0.2106715738773346
cuda:0 (NVIDIA L40S),bfloat16,levy,2.0,"(64, 64)",64,Muon,5,0,0.22862222976982594,0.01561336423665165,0.057155557442456484,0.0039033410591629127,0.3823101222515106,0.23460876941680908
cuda:0 (NVIDIA L40S),bfloat16,levy,2.0,"(64, 64)",64,Muon,5,1,0.22862222976982594,0.01561336423665165,0.057155557442456484,0.0039033410591629127,0.3789195120334625,0.23922911286354065
cuda:0 (NVIDIA L40S),bfloat16,levy,2.0,"(64, 64)",64,Muon,5,2,0.22862222976982594,0.01561336423665165,0.057155557442456484,0.0039033410591629127,0.35528066754341125,0.2027996927499771
cuda:0 (NVIDIA L40S),bfloat16,levy,2.0,"(64, 64)",64,Muon,5,3,0.22862222976982594,0.01561336423665165,0.057155557442456484,0.0039033410591629127,0.3534541726112366,0.20265045762062073
cuda:0 (NVIDIA L40S),bfloat16,levy,2.0,"(64, 64)",64,Dion,1,0,0.10616244981065392,0.0067952325651383415,0.02654061245266348,0.0016988081412845854,0.8894066214561462,0.7294114232063293
cuda:0 (NVIDIA L40S),bfloat16,levy,2.0,"(64, 64)",64,Dion,1,1,0.10616244981065392,0.0067952325651383415,0.02654061245266348,0.0016988081412845854,0.8904657959938049,0.7329704165458679
cuda:0 (NVIDIA L40S),bfloat16,levy,2.0,"(64, 64)",64,Dion,1,2,0.10616244981065392,0.0067952325651383415,0.02654061245266348,0.0016988081412845854,0.8902110457420349,0.7322156429290771
cuda:0 (NVIDIA L40S),bfloat16,levy,2.0,"(64, 64)",64,Dion,1,3,0.10616244981065392,0.0067952325651383415,0.02654061245266348,0.0016988081412845854,0.8901134133338928,0.7313805818557739
cuda:0 (NVIDIA L40S),bfloat16,levy,2.0,"(64, 64)",64,Dion,2,0,0.13220746768638492,0.007659492612714266,0.03305186692159623,0.0019148731531785665,0.6005828380584717,0.4723406136035919
cuda:0 (NVIDIA L40S),bfloat16,levy,2.0,"(64, 64)",64,Dion,2,1,0.13220746768638492,0.007659492612714266,0.03305186692159623,0.0019148731531785665,0.6134134531021118,0.4788305461406708
cuda:0 (NVIDIA L40S),bfloat16,levy,2.0,"(64, 64)",64,Dion,2,2,0.13220746768638492,0.007659492612714266,0.03305186692159623,0.0019148731531785665,0.613317608833313,0.47712442278862
cuda:0 (NVIDIA L40S),bfloat16,levy,2.0,"(64, 64)",64,Dion,2,3,0.13220746768638492,0.007659492612714266,0.03305186692159623,0.0019148731531785665,0.6094904541969299,0.47470811009407043
cuda:0 (NVIDIA L40S),bfloat16,levy,2.0,"(64, 64)",64,Dion,3,0,0.16131502343341708,0.01001397797536403,0.04032875585835427,0.0025034944938410074,0.35388079285621643,0.26961690187454224
cuda:0 (NVIDIA L40S),bfloat16,levy,2.0,"(64, 64)",64,Dion,3,1,0.16131502343341708,0.01001397797536403,0.04032875585835427,0.0025034944938410074,0.3337937295436859,0.255363404750824
cuda:0 (NVIDIA L40S),bfloat16,levy,2.0,"(64, 64)",64,Dion,3,2,0.16131502343341708,0.01001397797536403,0.04032875585835427,0.0025034944938410074,0.3475637137889862,0.25162410736083984
cuda:0 (NVIDIA L40S),bfloat16,levy,2.0,"(64, 64)",64,Dion,3,3,0.16131502343341708,0.01001397797536403,0.04032875585835427,0.0025034944938410074,0.3399978280067444,0.2543889582157135
cuda:0 (NVIDIA L40S),bfloat16,levy,2.0,"(64, 64)",64,Dion,4,0,0.18209998961538076,0.008610127517643304,0.04552499740384519,0.002152531879410826,0.18409135937690735,0.150600403547287
cuda:0 (NVIDIA L40S),bfloat16,levy,2.0,"(64, 64)",64,Dion,4,1,0.18209998961538076,0.008610127517643304,0.04552499740384519,0.002152531879410826,0.1803763061761856,0.14987656474113464
cuda:0 (NVIDIA L40S),bfloat16,levy,2.0,"(64, 64)",64,Dion,4,2,0.18209998961538076,0.008610127517643304,0.04552499740384519,0.002152531879410826,0.13423871994018555,0.08341430127620697
cuda:0 (NVIDIA L40S),bfloat16,levy,2.0,"(64, 64)",64,Dion,4,3,0.18209998961538076,0.008610127517643304,0.04552499740384519,0.002152531879410826,0.17884090542793274,0.13528189063072205
cuda:0 (NVIDIA L40S),bfloat16,levy,2.0,"(64, 64)",64,Dion,5,0,0.20810251589864492,0.007749626457956297,0.05202562897466123,0.0019374066144890742,0.13083088397979736,0.11251671612262726
cuda:0 (NVIDIA L40S),bfloat16,levy,2.0,"(64, 64)",64,Dion,5,1,0.20810251589864492,0.007749626457956297,0.05202562897466123,0.0019374066144890742,0.13368470966815948,0.1244344413280487
cuda:0 (NVIDIA L40S),bfloat16,levy,2.0,"(64, 64)",64,Dion,5,2,0.20810251589864492,0.007749626457956297,0.05202562897466123,0.0019374066144890742,0.053027138113975525,0.026179607957601547
cuda:0 (NVIDIA L40S),bfloat16,levy,2.0,"(64, 64)",64,Dion,5,3,0.20810251589864492,0.007749626457956297,0.05202562897466123,0.0019374066144890742,0.09720004349946976,0.05826948583126068
cuda:0 (NVIDIA L40S),bfloat16,levy,2.0,"(64, 64)",64,AOLxDion,1,0,0.08284504292532802,0.008811110651277222,0.020711260731332004,0.0022027776628193055,0.5886978507041931,0.46238693594932556
cuda:0 (NVIDIA L40S),bfloat16,levy,2.0,"(64, 64)",64,AOLxDion,1,1,0.08284504292532802,0.008811110651277222,0.020711260731332004,0.0022027776628193055,0.6068342924118042,0.4735563099384308
cuda:0 (NVIDIA L40S),bfloat16,levy,2.0,"(64, 64)",64,AOLxDion,1,2,0.08284504292532802,0.008811110651277222,0.020711260731332004,0.0022027776628193055,0.6034745573997498,0.46883106231689453
cuda:0 (NVIDIA L40S),bfloat16,levy,2.0,"(64, 64)",64,AOLxDion,1,3,0.08284504292532802,0.008811110651277222,0.020711260731332004,0.0022027776628193055,0.6014293432235718,0.46759966015815735
cuda:0 (NVIDIA L40S),bfloat16,levy,2.0,"(64, 64)",64,AOLxDion,2,0,0.10254501830786467,0.00800568633258942,0.025636254576966166,0.002001421583147355,0.3888014853000641,0.2984004020690918
cuda:0 (NVIDIA L40S),bfloat16,levy,2.0,"(64, 64)",64,AOLxDion,2,1,0.10254501830786467,0.00800568633258942,0.025636254576966166,0.002001421583147355,0.38094428181648254,0.28894302248954773
cuda:0 (NVIDIA L40S),bfloat16,levy,2.0,"(64, 64)",64,AOLxDion,2,2,0.10254501830786467,0.00800568633258942,0.025636254576966166,0.002001421583147355,0.3815101981163025,0.2839702367782593
